State,Year,Subject,Score
Alabama,2012,Composite,20.3
Alaska,2012,Composite,21.2
Arizona,2012,Composite,19.7
Arkansas,2012,Composite,20.3
California,2012,Composite,22.1
Colorado,2012,Composite,20.6
Connecticut,2012,Composite,23.8
Delaware,2012,Composite,22.6
District of Columbia,2012,Composite,19.7
Florida,2012,Composite,19.8
Georgia,2012,Composite,20.7
Hawaii,2012,Composite,21.3
Idaho,2012,Composite,21.6
Illinois,2012,Composite,20.9
Indiana,2012,Composite,22.3
Iowa,2012,Composite,22.1
Kansas,2012,Composite,21.9
Kentucky,2012,Composite,19.8
Louisiana,2012,Composite,20.3
Maine,2012,Composite,23.4
Maryland,2012,Composite,22.1
Massachusetts,2012,Composite,24.1
Michigan,2012,Composite,20.1
Minnesota,2012,Composite,22.8
Mississippi,2012,Composite,18.7
Missouri,2012,Composite,21.6
Montana,2012,Composite,22.0
Nebraska,2012,Composite,22.0
Nevada,2012,Composite,21.3
New Hampshire,2012,Composite,23.8
New Jersey,2012,Composite,23.4
New Mexico,2012,Composite,19.9
New York,2012,Composite,23.3
North Carolina,2012,Composite,21.9
North Dakota,2012,Composite,20.7
Ohio,2012,Composite,21.8
Oklahoma,2012,Composite,20.7
Oregon,2012,Composite,21.4
Pennsylvania,2012,Composite,22.4
Rhode Island,2012,Composite,22.9
South Carolina,2012,Composite,20.2
South Dakota,2012,Composite,21.8
Tennessee,2012,Composite,19.7
Texas,2012,Composite,20.8
Utah,2012,Composite,20.7
Vermont,2012,Composite,23.0
Virginia,2012,Composite,22.4
Washington,2012,Composite,22.9
West Virginia,2012,Composite,20.6
Wisconsin,2012,Composite,22.1
Wyoming,2012,Composite,20.3
Alabama,2012,English,20.3
Alaska,2012,English,20.3
Arizona,2012,English,18.6
Arkansas,2012,English,20.0
California,2012,English,21.6
Colorado,2012,English,19.9
Connecticut,2012,English,23.9
Delaware,2012,English,22.3
District of Columbia,2012,English,19.0
Florida,2012,English,18.9
Georgia,2012,English,20.1
Hawaii,2012,English,20.5
Idaho,2012,English,21.0
Illinois,2012,English,20.5
Indiana,2012,English,21.7
Iowa,2012,English,21.6
Kansas,2012,English,21.3
Kentucky,2012,English,19.5
Louisiana,2012,English,20.4
Maine,2012,English,23.5
Maryland,2012,English,21.6
Massachusetts,2012,English,23.9
Michigan,2012,English,19.3
Minnesota,2012,English,22.1
Mississippi,2012,English,18.6
Missouri,2012,English,21.4
Montana,2012,English,21.1
Nebraska,2012,English,21.8
Nevada,2012,English,20.5
New Hampshire,2012,English,23.6
New Jersey,2012,English,23.1
New Mexico,2012,English,19.0
New York,2012,English,22.7
North Carolina,2012,English,21.0
North Dakota,2012,English,19.6
Ohio,2012,English,21.1
Oklahoma,2012,English,20.4
Oregon,2012,English,20.6
Pennsylvania,2012,English,22.0
Rhode Island,2012,English,22.9
South Carolina,2012,English,19.5
South Dakota,2012,English,21.0
Tennessee,2012,English,19.6
Texas,2012,English,19.6
Utah,2012,English,20.0
Vermont,2012,English,22.6
Virginia,2012,English,22.1
Washington,2012,English,22.3
West Virginia,2012,English,20.6
