State Name,Instruction Expenditures - Salaries (E11) [State Finance] 2019-20,Instruction Expenditures - Salaries (E11) [State Finance] 2018-19,Instruction Expenditures - Salaries (E11) [State Finance] 2017-18,Instruction Expenditures - Salaries (E11) [State Finance] 2016-17,Instruction Expenditures - Salaries (E11) [State Finance] 2015-16,Instruction Expenditures - Salaries (E11) [State Finance] 2014-15,Instruction Expenditures - Salaries (E11) [State Finance] 2013-14,Instruction Expenditures - Salaries (E11) [State Finance] 2012-13,Instruction Expenditures - Salaries (E11) [State Finance] 2011-12,Instruction Expenditures - Salaries (E11) [State Finance] 2010-11,Instruction Expenditures - Salaries (E11) [State Finance] 2009-10,Instruction Expenditures - Salaries (E11) [State Finance] 2008-09,Instruction Expenditures - Salaries (E11) [State Finance] 2007-08,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2019-20,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2018-19,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2017-18,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2016-17,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2015-16,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2014-15,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2013-14,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2012-13,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2011-12,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2010-11,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2009-10,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2008-09,Instruction Expenditures - Employee Benefits (E12) [State Finance] 2007-08,Instruction Expenditures - Purchased Services (E13) [State Finance] 2019-20,Instruction Expenditures - Purchased Services (E13) [State Finance] 2018-19,Instruction Expenditures - Purchased Services (E13) [State Finance] 2017-18,Instruction Expenditures - Purchased Services (E13) [State Finance] 2016-17,Instruction Expenditures - Purchased Services (E13) [State Finance] 2015-16,Instruction Expenditures - Purchased Services (E13) [State Finance] 2014-15,Instruction Expenditures - Purchased Services (E13) [State Finance] 2013-14,Instruction Expenditures - Purchased Services (E13) [State Finance] 2012-13,Instruction Expenditures - Purchased Services (E13) [State Finance] 2011-12,Instruction Expenditures - Purchased Services (E13) [State Finance] 2010-11,Instruction Expenditures - Purchased Services (E13) [State Finance] 2009-10,Instruction Expenditures - Purchased Services (E13) [State Finance] 2008-09,Instruction Expenditures - Purchased Services (E13) [State Finance] 2007-08,Instruction Expenditures - Tuition (E14) [State Finance] 2019-20,Instruction Expenditures - Tuition (E14) [State Finance] 2018-19,Instruction Expenditures - Tuition (E14) [State Finance] 2017-18,Instruction Expenditures - Tuition (E14) [State Finance] 2016-17,Instruction Expenditures - Tuition (E14) [State Finance] 2015-16,Instruction Expenditures - Tuition (E14) [State Finance] 2014-15,Instruction Expenditures - Tuition (E14) [State Finance] 2013-14,Instruction Expenditures - Tuition (E14) [State Finance] 2012-13,Instruction Expenditures - Tuition (E14) [State Finance] 2011-12,Instruction Expenditures - Tuition (E14) [State Finance] 2010-11,Instruction Expenditures - Tuition (E14) [State Finance] 2009-10,Instruction Expenditures - Tuition (E14) [State Finance] 2008-09,Instruction Expenditures - Tuition (E14) [State Finance] 2007-08,Instruction Expenditures - Supplies (E16) [State Finance] 2019-20,Instruction Expenditures - Supplies (E16) [State Finance] 2018-19,Instruction Expenditures - Supplies (E16) [State Finance] 2017-18,Instruction Expenditures - Supplies (E16) [State Finance] 2016-17,Instruction Expenditures - Supplies (E16) [State Finance] 2015-16,Instruction Expenditures - Supplies (E16) [State Finance] 2014-15,Instruction Expenditures - Supplies (E16) [State Finance] 2013-14,Instruction Expenditures - Supplies (E16) [State Finance] 2012-13,Instruction Expenditures - Supplies (E16) [State Finance] 2011-12,Instruction Expenditures - Supplies (E16) [State Finance] 2010-11,Instruction Expenditures - Supplies (E16) [State Finance] 2009-10,Instruction Expenditures - Supplies (E16) [State Finance] 2008-09,Instruction Expenditures - Supplies (E16) [State Finance] 2007-08,Instruction Expenditures - Other (E18) [State Finance] 2019-20,Instruction Expenditures - Other (E18) [State Finance] 2018-19,Instruction Expenditures - Other (E18) [State Finance] 2017-18,Instruction Expenditures - Other (E18) [State Finance] 2016-17,Instruction Expenditures - Other (E18) [State Finance] 2015-16,Instruction Expenditures - Other (E18) [State Finance] 2014-15,Instruction Expenditures - Other (E18) [State Finance] 2013-14,Instruction Expenditures - Other (E18) [State Finance] 2012-13,Instruction Expenditures - Other (E18) [State Finance] 2011-12,Instruction Expenditures - Other (E18) [State Finance] 2010-11,Instruction Expenditures - Other (E18) [State Finance] 2009-10,Instruction Expenditures - Other (E18) [State Finance] 2008-09,Instruction Expenditures - Other (E18) [State Finance] 2007-08,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2019-20,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2018-19,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2017-18,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2016-17,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2015-16,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2014-15,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2013-14,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2012-13,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2011-12,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2010-11,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2009-10,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2008-09,Instruction Expenditures - Regular Program Salaries (E11A) [State Finance] 2007-08,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2019-20,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2018-19,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2017-18,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2016-17,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2015-16,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2014-15,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2013-14,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2012-13,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2011-12,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2010-11,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2009-10,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2008-09,Instruction Expenditures - Special Education Salaries (E11B) [State Finance] 2007-08,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2019-20,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2018-19,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2017-18,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2016-17,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2015-16,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2014-15,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2013-14,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2012-13,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2011-12,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2010-11,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2009-10,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2008-09,Instruction Expenditures - Vocational Salaries (E11C) [State Finance] 2007-08,Instruction Expenditures - Other Programs (E11D) [State Finance] 2019-20,Instruction Expenditures - Other Programs (E11D) [State Finance] 2018-19,Instruction Expenditures - Other Programs (E11D) [State Finance] 2017-18,Instruction Expenditures - Other Programs (E11D) [State Finance] 2016-17,Instruction Expenditures - Other Programs (E11D) [State Finance] 2015-16,Instruction Expenditures - Other Programs (E11D) [State Finance] 2014-15,Instruction Expenditures - Other Programs (E11D) [State Finance] 2013-14,Instruction Expenditures - Other Programs (E11D) [State Finance] 2012-13,Instruction Expenditures - Other Programs (E11D) [State Finance] 2011-12,Instruction Expenditures - Other Programs (E11D) [State Finance] 2010-11,Instruction Expenditures - Other Programs (E11D) [State Finance] 2009-10,Instruction Expenditures - Other Programs (E11D) [State Finance] 2008-09,Instruction Expenditures - Other Programs (E11D) [State Finance] 2007-08,Instruction Expenditures - Textbooks (E2) [State Finance] 2019-20,Instruction Expenditures - Textbooks (E2) [State Finance] 2018-19,Instruction Expenditures - Textbooks (E2) [State Finance] 2017-18,Instruction Expenditures - Textbooks (E2) [State Finance] 2016-17,Instruction Expenditures - Textbooks (E2) [State Finance] 2015-16,Instruction Expenditures - Textbooks (E2) [State Finance] 2014-15,Instruction Expenditures - Textbooks (E2) [State Finance] 2013-14,Instruction Expenditures - Textbooks (E2) [State Finance] 2012-13,Instruction Expenditures - Textbooks (E2) [State Finance] 2011-12,Instruction Expenditures - Textbooks (E2) [State Finance] 2010-11,Instruction Expenditures - Textbooks (E2) [State Finance] 2009-10,Instruction Expenditures - Textbooks (E2) [State Finance] 2008-09,Instruction Expenditures - Textbooks (E2) [State Finance] 2007-08
ALABAMA,2794359094,2691205833,2602756794,2582188849,2477403659,2486747005,2495972800,2454717450,2442365193,2500992746,2527833534,2538696534,2553753211,1055910116,1032377716,1007892912,996372183,965948702,964905306,929191400,879398206,872820748,983940156,998529795,995728866,1013988946,148936040,172219402,184648253,177982617,169352959,144099708,138777988,127498964,120379070,112088161,104085015,103224835,103804295,3419476,2911002,2791050,2266830,2327145,1950736,2152881,1523027,1927290,2631866,1853069,2219880,2587035,366373603,314706562,287735160,270096884,284999927,257225018,275876352,274715373,246709719,235133897,258190506,245035128,319782186,19860185,24821771,21090682,20284868,19623339,17249681,15993202,14629602,13916808,11631830,11889250,12595363,14818812,1971283287,1899154202,1846453679,1838551447,1766504335,1767555715,1775677776,1741644434,1739451926,1782080018,1792844992,1793872596,1804977199,273666344,260761769,251736268,249044053,239710646,242622066,243255956,241069448,241703155,265058655,188274018,193587327,304741266,131928276,127054042,123223157,120688237,115664918,113763360,111331956,108305503,105189060,107644992,110278708,110639595,113324891,51551246,49817134,48803312,47370811,44853748,45910915,47926151,47208671,47016572,48476732,24837500,30379331,32245284,35538613,40816790,40197818,35554424,48688199,31228501,40357368,48125648,37917312,15446672,16553537,31885024,64679609
ALASKA,725390799,726699913,716027215,721744177,711181788,693933408,688001845,682495826,673081514,666918708,641431359,605309764,578916138,438132784,418290143,410908888,414053585,414485101,666737804,539442259,520603054,460008559,413654983,384228399,394575674,412554779,56991545,65816511,61475428,61383435,58576963,57104921,55659947,57637257,56674545,61054899,59288785,58449208,58220404,910897,724153,612125,297851,202777,89364,59696,284070,443831,364557,108520,189079,253685,58861537,60558458,61584604,57178912,56347631,60744131,57805708,59501910,65144816,67196368,59980844,55816469,57778645,7213896,9871386,11052687,11383668,10931460,10694573,10160886,9504350,9691711,9495230,10549173,9234020,9716959,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
ARIZONA,3690820526,3617868384,3346718582,3260105196,3126186606,3040265275,3039539648,3070786593,3027600745,3256512906,3359861432,3531455165,3392319069,1075463382,1095166802,1006079274,972152241,934002684,916617118,915571127,898037856,861743382,770956721,859390181,845882579,795319935,344168460,361149332,344086534,338867619,309607721,297427404,272886252,272990370,269410255,225929005,206437720,226773945,232646658,2915640,2956754,3457420,1947616,1665305,1706089,1580375,1665948,1817135,2073623,10873343,10971707,5584751,233177057,239846915,208210531,221550448,194855150,199390837,193208978,178046483,173792074,99764594,187008767,166216754,186256068,28672855,35456259,40728406,34342366,29816310,32098840,27304275,24196966,25038535,151646080,135885169,125482579,139412910,2501266456,2367181397,2189474330,2144996444,2041139426,2009716311,2013800192,1997541062,1944553572,1925272360,2084843217,2153070536,2255071324,406939358,373103233,355786805,343961448,334083639,312821034,324454073,336587889,325415830,330624073,334131348,368472960,341687820,101715913,94534894,75102171,72606411,70350947,68289915,60840067,58949293,63203856,68259292,66336523,71449799,78404671,132988968,119580351,136092844,141134419,130133036,124566096,130096980,131895565,136737874,116653337,116676673,136428754,111499629,89044614,92174245,79044850,84808563,67702004,69898700,76121748,59344624,55014234,65523639,71375105,102803474,122338095
ARKANSAS,1989765192,1965622903,1929131568,1876613635,1846356785,1829292498,1818164198,1803661213,1791543470,1798852379,1757604021,1716716223,1689264640,565884881,555005251,544661186,530842325,524988119,518679147,527026030,492677313,490982927,492291463,479523820,448615309,442210880,106661868,125496607,125948862,124195959,126959795,121266839,107511755,94156497,95351294,98069994,90422003,79542379,76450288,18030022,16341587,13702044,13401180,12057476,11549491,11400804,12486408,10587887,11629632,12001037,11180382,10372135,187831797,207297782,203144227,201652942,197711016,197296530,198566317,183500946,198823831,196050691,214753424,187295336,190879748,14128044,18800375,22277350,22517544,26004611,23618700,20293025,19888200,19700237,18580152,18506817,18755105,17125541,1251796243,1240747191,1214336508,1191382639,1178851026,1173165809,1170635549,1170200090,1163908377,1154090421,1141046676,1125283207,1108672797,207341232,201238204,198286815,189804932,188668244,189977606,185392055,187248032,185661705,184325657,182872151,179527476,177015669,91595804,93720595,89828356,88684751,88061651,88268863,87787443,83832798,84050635,85504682,86305441,86586821,84765135,178803827,174207870,173180180,168632670,163896048,157845503,156120774,155837070,153228472,153875613,153053949,145323547,140803469,33213797,27882356,24324402,24344290,27324809,19774641,34136677,19624565,28786675,26967863,25140497,39380204,43070866
CALIFORNIA,30488297715,30037746037,29160238272,28385594541,27148051584,25433551906,23880538763,22901586775,22845108454,22874871130,23503106187,24365951573,24408875167,14910153404,15831763389,12500256398,11385175951,10154297406,8958203734,8311543532,8228479393,8250199334,7843569067,7756666360,7573922649,7890652494,2540524172,2583817456,2360463454,2364304314,2228376978,1959137200,1763556029,1743564447,1724400250,1741303252,1679025181,1580419020,1685441818,1058199707,1033283423,979820210,935273418,879923245,819726436,801829301,756495270,755681445,754422397,748356725,795996382,768743270,1932165394,2198670683,2150273759,2359696664,2185022513,2035672821,1575298228,1180925500,1254825167,1461633893,1365473021,1622480478,2190205445,14300048,13270117,13932447,12017070,11174456,7665134,6268868,4487128,4418143,3809771,3808507,3661594,3586386,20671218040,20301884340,19960429181,19804366804,19149264118,18206082989,17076582010,16442309596,16460505498,16561534321,17138076886,17953660327,18006362824,3822510962,3731483043,3598841164,3480087606,3339020880,3115304271,2946548892,2820919710,2778961651,2760444356,2809219250,2824563421,2794441567,428879220,397126095,350232705,314376629,215021745,150479177,144846567,137514866,115332767,127062159,130419485,153531874,152299754,720251171,727548377,731721440,772136928,772174351,674698440,696475152,718317494,734250990,758493371,778490284,818092805,854189829,502943372,523513692,557666548,668906574,490066902,456842514,267825178,201282546,234909740,319965605,316585759,487491829,608426383
COLORADO,3921480150,3732495063,3502851630,3421045158,3348613206,3222468457,3155519916,3034027461,2987371902,3018418325,3059053410,2970930299,2815247254,1273816712,1203833437,1086936324,1004243083,953905899,898454150,857531475,819269543,762687945,743335253,724107986,686310904,933354668,157618586,163011195,151919691,135158981,133253278,117985462,116455142,113518327,114591784,112519659,110502483,105025053,103557233,87083533,83709930,75185713,66347058,63121343,57447437,52440281,46818867,43413380,42267269,42116539,41608165,53048418,328122040,319227721,304184308,298385116,304275092,300310096,279865933,272730042,253575056,271477931,274122107,277942843,281898270,36188696,69038565,66992951,64634780,69568626,69310403,70531534,64382993,64983193,62674777,59574416,60049167,62285149,2534485507,2430019360,2408310717,2463003235,2418131044,2340420159,2280639722,2142996107,2120302974,2147254006,2151622195,2111674524,2048330776,745280908,715000986,443458260,406900789,390643710,378532596,361673751,335796144,333745499,337964915,356613211,345719472,334175090,35303758,26827883,126444610,125584992,126295603,115293228,110378187,96692302,78112654,82659172,87514203,85977940,78776335,234226112,210833890,212702793,131693280,123402077,122402274,118872953,186696795,171438612,163940463,108268215,99190579,92050280,48448672,57196190,59803165,54085337,58345123,66952256,53549030,48827714,45415687,54219881,54033013,55887395,65980264
CONNECTICUT,4072311697,3961284707,3800684263,3963986693,3909375279,3833099173,3768383556,3671907651,3597321000,3601405478,3544680769,3444803590,3343802807,2039652188,2021271250,1979057110,1899984017,1885229839,1862291672,1807916684,1633961459,1602150113,1448012365,1371504932,1330076790,1263905104,191245202,196306615,181981375,217458399,220156630,207768630,219747649,204247803,200190424,199224980,204105857,176676643,157190087,344895325,593645961,573699816,531070442,521599302,501316108,458223300,416259095,400077391,396499045,364609254,357872022,333705043,99635359,97424845,97084498,103921599,112589250,114554982,124376827,109300949,104888305,115141304,126809130,124644435,122526472,5635351,5028280,5481424,6506491,5524352,7472773,6227977,5465295,5338043,8590255,7226164,7562239,7503496,2533389320,2515880020,2573072721,2408008761,2422735953,2378853838,2360365188,2326121954,2293553161,2288948967,2283622951,2232149546,2160410918,568476619,555953844,475889084,419412792,421361979,407677098,407863660,404356921,397723496,393865933,389208722,373535224,359343792,19619810,18235063,18555449,53954326,51725101,47832685,45891310,47357016,43862253,42550163,42420860,41007061,39580526,268125413,278536810,284707956,161404595,156750712,148053476,146799992,140373783,136982029,134659002,130350148,123220682,116516195,15206675,–,–,–,–,–,–,–,–,–,–,–,–
DELAWARE,803767357,815043526,778191998,758278843,732115795,705382723,686840087,661953983,675131067,643670733,607857133,595656994,578066875,450150704,451261334,423578158,419881888,382812157,352172331,347213902,342145715,334280658,281665377,265699807,262135049,257760317,41233367,16938587,16627609,17908297,13610754,13329978,10797303,13070855,14835106,24377924,14029383,12515151,12841780,20186436,11670581,10055849,9423237,13207304,10144274,9294473,5856501,5632529,5547045,6474801,6509597,5895517,30228930,58590780,55593756,51863844,55001526,49109668,45641192,42207504,56812138,54009960,48807224,38954299,33087199,0,7364769,8860324,12196695,21236452,19346027,14631006,28550346,29798170,9220310,9691939,9640219,9164913,465173303,517025321,495769542,484335844,467196635,460406751,449037801,439725766,450439162,427738006,377124374,371394278,360134869,310594842,146612500,136091868,135401765,128943148,126661806,126548986,121863259,124422150,95784888,114761878,117263895,114065277,27999211,13467253,15450824,15097952,14751127,14717034,14515017,14200207,11620805,16751765,17015297,17380309,17116980,–,24231819,22167694,23018836,22912920,22880935,23320964,18586137,21463544,35176464,29011528,24674969,23147455,4843550,3289387,5009921,4440199,6236108,5224930,7229099,5093988,7238270,13122415,8112869,6240316,8027432
DISTRICT OF COLUMBIA,761332860,699979655,769915768,709164060,687092381,623929466,593208476,562913811,565155854,451340550,458470012,395532249,420355775,186051406,165826778,177773659,167435465,139236478,130180240,114564712,80105648,71657528,79700002,60639939,53516401,63321432,35446186,42625701,53589146,48003272,41722971,41453228,55898516,69213665,39238323,52967290,13029947,23093371,68566969,61010119,63500000,70021295,74460953,74414869,74339721,77413000,84086000,119624000,135239863,166575039,140128700,34540141,21852718,20644113,25166288,22171369,24851594,22666832,20738263,20038148,17088059,18960911,18708260,10882755,92048679,15823490,22529540,21119290,18698002,16995188,8338838,6940217,38636762,22533528,16255749,5732696,962970,9372281,474778352,441368711,450879302,415423033,402150271,388992005,429557259,400330732,389937947,310499832,327223565,107787289,194108045,133358247,122374360,138355677,125984465,120389685,109053133,118872220,71514649,83441176,61563127,55070245,15433809,49321082,9218462,7565343,7068003,5521107,5679851,4991452,2288737,1288034,1237200,1334831,4284889,796624,7851090,16023925,16699414,16880832,15904766,14483763,11674378,12351681,52830549,71384388,63046075,19538010,3696538,14285027,3849680,3150784,3460283,4168138,4141920,3924854,3056910,6106068,5586062,4927646,111616709,2471732,2525270
FLORIDA,10287381152,9755632288,9695253275,9375840057,9227637998,9093724054,8956541006,8687300405,8614099045,8826444840,8699434850,8945024413,9189112269,3209025202,3036636373,2982061025,2907839918,2794944288,2711822939,2659519618,2395362956,2328432107,2860946156,2680150045,2693245815,2708436723,3827139704,3790523954,3526041922,3366298485,3131946376,2930569481,2688847457,2483440912,2295046574,2196960384,2129008654,1860387391,2018889093,611460,311049,240166,203409,0,299734,305601,608741,511021,960187,943321,1027213,1581277,560334760,594354528,600017788,529448755,487809517,579076754,540299202,551247405,524711021,582506775,502706147,499287088,568254713,184226533,213022213,135802169,125650490,120763321,104553628,119795772,111554343,100560561,98479435,99453572,106025492,108374846,5930910899,5650380628,5659416617,5558082904,5551163375,5548574638,5518187991,5358151991,5342377225,5568164948,5249057514,5435735750,5574186018,2054899049,1964019831,1886148560,1801325985,1741445649,1723287941,1695114286,1645501707,1658477342,1707091023,1803179638,1839989627,1887609484,235269740,220260824,215683443,213980383,205288607,212021169,207931798,191849845,204184795,208983777,211792426,230763973,251024393,383359066,372023815,370538174,355829320,334291725,339009182,334448348,339034475,340139058,280104517,345545169,379018564,395840754,173049412,216016534,207008866,159721810,151540914,202271080,194694331,218931790,199909656,225395209,169016528,200986469,239325713
