State,Year,Subject,Score
Alabama,2017,Total,1165
Alaska,2017,Total,1080
Arizona,2017,Total,1116
Arkansas,2017,Total,1208
California,2017,Total,1055
Colorado,2017,Total,1201
Connecticut,2017,Total,1041
Delaware,2017,Total,996
District of Columbia,2017,Total,950
Florida,2017,Total,1017
Georgia,2017,Total,1050
Hawaii,2017,Total,1085
Idaho,2017,Total,1005
Illinois,2017,Total,1115
Indiana,2017,Total,1074
Iowa,2017,Total,1275
Kansas,2017,Total,1260
Kentucky,2017,Total,1247
Louisiana,2017,Total,1198
Maine,2017,Total,1012
Maryland,2017,Total,1060
Massachusetts,2017,Total,1107
Michigan,2017,Total,1005
Minnesota,2017,Total,1295
Mississippi,2017,Total,1242
Missouri,2017,Total,1271
Montana,2017,Total,1196
Nebraska,2017,Total,1253
Nevada,2017,Total,1116
New Hampshire,2017,Total,1052
New Jersey,2017,Total,1056
New Mexico,2017,Total,1138
New York,2017,Total,1052
North Carolina,2017,Total,1081
North Dakota,2017,Total,1256
Ohio,2017,Total,1149
Oklahoma,2017,Total,1047
Oregon,2017,Total,1108
Pennsylvania,2017,Total,1071
Rhode Island,2017,Total,1062
South Carolina,2017,Total,1064
South Dakota,2017,Total,1216
Tennessee,2017,Total,1228
Texas,2017,Total,1020
Utah,2017,Total,1238
Vermont,2017,Total,1114
Virginia,2017,Total,1102
Washington,2017,Total,1075
West Virginia,2017,Total,1086
Wisconsin,2017,Total,1291
Wyoming,2017,Total,1230
Alabama,2017,ERW,593
Alaska,2017,ERW,547
Arizona,2017,ERW,563
Arkansas,2017,ERW,614
California,2017,ERW,531
Colorado,2017,ERW,606
Connecticut,2017,ERW,530
Delaware,2017,ERW,503
District of Columbia,2017,ERW,482
Florida,2017,ERW,520
Georgia,2017,ERW,535
Hawaii,2017,ERW,544
Idaho,2017,ERW,513
Illinois,2017,ERW,559
Indiana,2017,ERW,542
Iowa,2017,ERW,641
Kansas,2017,ERW,632
Kentucky,2017,ERW,631
Louisiana,2017,ERW,611
Maine,2017,ERW,513
Maryland,2017,ERW,536
Massachusetts,2017,ERW,555
Michigan,2017,ERW,509
Minnesota,2017,ERW,644
Mississippi,2017,ERW,634
Missouri,2017,ERW,640
Montana,2017,ERW,605
Nebraska,2017,ERW,629
Nevada,2017,ERW,563
New Hampshire,2017,ERW,532
New Jersey,2017,ERW,530
New Mexico,2017,ERW,577
New York,2017,ERW,528
North Carolina,2017,ERW,546
North Dakota,2017,ERW,635
Ohio,2017,ERW,578
Oklahoma,2017,ERW,530
Oregon,2017,ERW,560
Pennsylvania,2017,ERW,540
Rhode Island,2017,ERW,539
South Carolina,2017,ERW,543
South Dakota,2017,ERW,612
Tennessee,2017,ERW,623
Texas,2017,ERW,513
Utah,2017,ERW,624
Vermont,2017,ERW,562
Virginia,2017,ERW,561
Washington,2017,ERW,541
West Virginia,2017,ERW,558
Wisconsin,2017,ERW,642
Wyoming,2017,ERW,626
Alabama,2017,Math,572
Alaska,2017,Math,533
Arizona,2017,Math,553
Arkansas,2017,Math,594
California,2017,Math,524
Colorado,2017,Math,595
Connecticut,2017,Math,512
Delaware,2017,Math,492
District of Columbia,2017,Math,468
Florida,2017,Math,497
Georgia,2017,Math,515
Hawaii,2017,Math,541
Idaho,2017,Math,493
Illinois,2017,Math,556
Indiana,2017,Math,532
Iowa,2017,Math,635
Kansas,2017,Math,628
Kentucky,2017,Math,616
Louisiana,2017,Math,586
Maine,2017,Math,499
Maryland,2017,Math,524
Massachusetts,2017,Math,551
Michigan,2017,Math,495
Minnesota,2017,Math,651
Mississippi,2017,Math,607
Missouri,2017,Math,631
Montana,2017,Math,591
Nebraska,2017,Math,625
Nevada,2017,Math,553
New Hampshire,2017,Math,520
New Jersey,2017,Math,526
New Mexico,2017,Math,561
New York,2017,Math,523
North Carolina,2017,Math,535
North Dakota,2017,Math,621
Ohio,2017,Math,570
Oklahoma,2017,Math,517
Oregon,2017,Math,548
Pennsylvania,2017,Math,531
Rhode Island,2017,Math,524
South Carolina,2017,Math,521
South Dakota,2017,Math,603
Tennessee,2017,Math,604
Texas,2017,Math,507
Utah,2017,Math,614
Vermont,2017,Math,551
Virginia,2017,Math,541
Washington,2017,Math,534
West Virginia,2017,Math,528
Wisconsin,2017,Math,649
Wyoming,2017,Math,604
Alabama,2018,Total,1166
Alaska,2018,Total,1106
Arizona,2018,Total,1149
Arkansas,2018,Total,1169
California,2018,Total,1076
Colorado,2018,Total,1025
Connecticut,2018,Total,1053
Delaware,2018,Total,998
District of Columbia,2018,Total,977
Florida,2018,Total,1014
Georgia,2018,Total,1064
Hawaii,2018,Total,1099
Idaho,2018,Total,1001
Illinois,2018,Total,1019
Indiana,2018,Total,1086
Iowa,2018,Total,1265
Kansas,2018,Total,1265
Kentucky,2018,Total,1248
Louisiana,2018,Total,1210
Maine,2018,Total,1013
