State,Year,Subject,Score
Alabama,2012,Total,1608
Alaska,2012,Total,1495
Arizona,2012,Total,1551
Arkansas,2012,Total,1697
California,2012,Total,1505
Colorado,2012,Total,1721
Connecticut,2012,Total,1532
Delaware,2012,Total,1351
District of Columbia,2012,Total,1400
Florida,2012,Total,1457
Georgia,2012,Total,1452
Hawaii,2012,Total,1453
Idaho,2012,Total,1364
Illinois,2012,Total,1807
Indiana,2012,Total,1470
Iowa,2012,Total,1763
Kansas,2012,Total,1752
Kentucky,2012,Total,1741
Louisiana,2012,Total,1655
Maine,2012,Total,1380
Maryland,2012,Total,1483
Massachusetts,2012,Total,1553
Michigan,2012,Total,1782
Minnesota,2012,Total,1780
Mississippi,2012,Total,1673
Missouri,2012,Total,1773
Montana,2012,Total,1595
Nebraska,2012,Total,1734
Nevada,2012,Total,1454
New Hampshire,2012,Total,1567
New Jersey,2012,Total,1521
New Mexico,2012,Total,1626
New York,2012,Total,1463
North Carolina,2012,Total,1479
North Dakota,2012,Total,1799
Ohio,2012,Total,1635
Oklahoma,2012,Total,1689
Oregon,2012,Total,1539
Pennsylvania,2012,Total,1480
Rhode Island,2012,Total,1468
South Carolina,2012,Total,1436
South Dakota,2012,Total,1760
Tennessee,2012,Total,1709
Texas,2012,Total,1437
Utah,2012,Total,1684
Vermont,2012,Total,1540
Virginia,2012,Total,1528
Washington,2012,Total,1537
West Virginia,2012,Total,1513
Wisconsin,2012,Total,1771
Wyoming,2012,Total,1757
Alabama,2012,Reading,544
Alaska,2012,Reading,508
Arizona,2012,Reading,521
Arkansas,2012,Reading,572
California,2012,Reading,498
Colorado,2012,Reading,578
Connecticut,2012,Reading,508
Delaware,2012,Reading,451
District of Columbia,2012,Reading,473
Florida,2012,Reading,492
Georgia,2012,Reading,490
Hawaii,2012,Reading,481
Idaho,2012,Reading,454
Illinois,2012,Reading,600
Indiana,2012,Reading,493
Iowa,2012,Reading,592
Kansas,2012,Reading,589
Kentucky,2012,Reading,585
Louisiana,2012,Reading,556
Maine,2012,Reading,462
Maryland,2012,Reading,497
Massachusetts,2012,Reading,515
Michigan,2012,Reading,590
Minnesota,2012,Reading,595
Mississippi,2012,Reading,568
Missouri,2012,Reading,596
Montana,2012,Reading,539
Nebraska,2012,Reading,584
Nevada,2012,Reading,492
New Hampshire,2012,Reading,524
New Jersey,2012,Reading,499
New Mexico,2012,Reading,550
New York,2012,Reading,485
North Carolina,2012,Reading,495
North Dakota,2012,Reading,609
Ohio,2012,Reading,548
Oklahoma,2012,Reading,571
Oregon,2012,Reading,520
Pennsylvania,2012,Reading,494
Rhode Island,2012,Reading,491
South Carolina,2012,Reading,484
South Dakota,2012,Reading,592
Tennessee,2012,Reading,574
Texas,2012,Reading,477
Utah,2012,Reading,569
Vermont,2012,Reading,516
Virginia,2012,Reading,516
Washington,2012,Reading,515
West Virginia,2012,Reading,514
Wisconsin,2012,Reading,591
Wyoming,2012,Reading,581
Alabama,2012,Mathematics,534
Alaska,2012,Mathematics,505
Arizona,2012,Mathematics,528
Arkansas,2012,Mathematics,570
California,2012,Mathematics,512
Colorado,2012,Mathematics,581
Connecticut,2012,Mathematics,512
Delaware,2012,Mathematics,457
District of Columbia,2012,Mathematics,466
Florida,2012,Mathematics,490
Georgia,2012,Mathematics,487
Hawaii,2012,Mathematics,504
Idaho,2012,Mathematics,459
Illinois,2012,Mathematics,617
Indiana,2012,Mathematics,500
Iowa,2012,Mathematics,601
Kansas,2012,Mathematics,595
Kentucky,2012,Mathematics,584
Louisiana,2012,Mathematics,553
Maine,2012,Mathematics,467
Maryland,2012,Mathematics,500
Massachusetts,2012,Mathematics,529
Michigan,2012,Mathematics,610
Minnesota,2012,Mathematics,608
Mississippi,2012,Mathematics,547
Missouri,2012,Mathematics,595
Montana,2012,Mathematics,540
Nebraska,2012,Mathematics,583
Nevada,2012,Mathematics,494
New Hampshire,2012,Mathematics,528
New Jersey,2012,Mathematics,522
New Mexico,2012,Mathematics,545
New York,2012,Mathematics,501
North Carolina,2012,Mathematics,506
North Dakota,2012,Mathematics,609
Ohio,2012,Mathematics,556
Oklahoma,2012,Mathematics,569
Oregon,2012,Mathematics,520
Pennsylvania,2012,Mathematics,504
Rhode Island,2012,Mathematics,490
South Carolina,2012,Mathematics,487
South Dakota,2012,Mathematics,601
Tennessee,2012,Mathematics,569
Texas,2012,Mathematics,499
Utah,2012,Mathematics,566
Vermont,2012,Mathematics,519
Virginia,2012,Mathematics,514
Washington,2012,Mathematics,523
West Virginia,2012,Mathematics,501
Wisconsin,2012,Mathematics,604
Wyoming,2012,Mathematics,588
Alabama,2012,Writing,530
Alaska,2012,Writing,482
Arizona,2012,Writing,502
Arkansas,2012,Writing,555
California,2012,Writing,495
Colorado,2012,Writing,562
Connecticut,2012,Writing,512
Delaware,2012,Writing,443
District of Columbia,2012,Writing,461
Florida,2012,Writing,475
Georgia,2012,Writing,475
Hawaii,2012,Writing,468
Idaho,2012,Writing,451
Illinois,2012,Writing,590
Indiana,2012,Writing,477
Iowa,2012,Writing,570
Kansas,2012,Writing,568
Kentucky,2012,Writing,572
Louisiana,2012,Writing,546
Maine,2012,Writing,451
Maryland,2012,Writing,486
Massachusetts,2012,Writing,509
Michigan,2012,Writing,582
Minnesota,2012,Writing,577
