State Name,Pupil/Teacher Ratio [State] 2019-20,Pupil/Teacher Ratio [State] 2018-19,Pupil/Teacher Ratio [State] 2017-18,Pupil/Teacher Ratio [State] 2016-17,Pupil/Teacher Ratio [State] 2015-16,Pupil/Teacher Ratio [State] 2014-15,Pupil/Teacher Ratio [State] 2013-14,Pupil/Teacher Ratio [State] 2012-13,Pupil/Teacher Ratio [State] 2011-12,Pupil/Teacher Ratio [State] 2010-11,Pupil/Teacher Ratio [State] 2009-10
ALABAMA,17.71,17.56,17.76,17.51,18.25,17.41,15.82,14.35,15.60,15.31,15.77
ALASKA,17.64,17.10,17.16,16.96,16.91,16.91,16.58,17.12,16.22,16.17,16.29
ARIZONA,23.56,23.53,23.21,23.29,23.13,23.10,22.80,22.29,21.27,21.42,20.75
ARKANSAS,12.86,13.03,13.86,13.81,13.75,13.86,14.03,14.24,14.22,14.07,12.90
CALIFORNIA,22.67,23.08,23.22,23.26,23.63,23.58,24.33,23.66,23.40,24.12,19.80
COLORADO,16.94,17.15,17.38,17.40,17.36,17.30,17.48,17.65,17.77,17.37,16.97
CONNECTICUT,12.36,12.30,11.79,12.64,12.29,12.90,12.57,12.54,12.66,13.05,12.94
DELAWARE,14.36,14.38,14.50,14.80,15.05,13.89,14.03,13.94,15.02,14.49,14.68
DISTRICT OF COLUMBIA,12.13,12.10,13.11,12.76,11.76,11.65,13.04,12.85,11.77,12.03,11.86
FLORIDA,17.22,17.31,15.22,15.12,15.29,15.28,15.30,15.25,15.25,15.05,14.33
GEORGIA,15.02,15.08,15.24,15.37,15.55,15.65,15.75,15.57,15.16,14.91,14.39
HAWAII,14.82,14.94,15.03,15.41,15.49,15.64,15.86,15.92,15.95,15.76,15.71
IDAHO,18.08,18.54,18.15,18.34,18.67,18.64,19.76,19.56,17.50,17.60,18.18
ILLINOIS,14.63,14.97,15.64,15.72,15.71,15.48,15.16,15.28,15.81,15.73,15.19
INDIANA,17.04,17.26,17.28,17.45,18.15,18.50,17.51,17.40,16.70,18.02,16.81
IOWA,14.48,14.45,14.40,14.24,14.24,14.16,14.21,14.25,14.31,14.31,13.72
KANSAS,13.60,13.55,13.66,13.66,12.39,13.20,13.01,11.86,13.00,13.96,13.67
KENTUCKY,16.39,16.21,16.19,16.27,16.39,16.56,16.20,16.02,16.29,16.01,16.20
LOUISIANA,18.41,18.29,17.75,14.80,12.29,15.47,15.32,15.29,14.46,14.32,13.92
MAINE,12.16,12.00,12.23,12.24,12.22,12.22,11.91,12.20,12.69,12.29,11.59
MARYLAND,14.79,14.78,14.85,14.84,14.80,14.77,14.78,14.89,14.83,14.59,14.51
MASSACHUSETTS,12.77,13.03,13.15,13.32,13.39,13.30,13.56,13.52,13.75,13.90,13.69
MICHIGAN,17.63,17.69,17.95,18.29,18.25,18.09,18.05,18.05,18.09,17.91,17.79
MINNESOTA,16.06,15.41,15.45,15.43,15.44,15.39,15.64,15.78,15.89,15.91,15.84
MISSISSIPPI,14.76,14.75,15.13,15.13,15.14,15.19,15.25,15.14,15.33,15.21,14.88
MISSOURI,13.17,13.34,13.37,13.47,13.59,13.63,13.78,13.86,13.83,13.77,13.54
MONTANA,14.04,14.07,14.21,13.87,13.96,14.12,13.98,14.01,14.02,13.68,13.48
NEBRASKA,13.73,13.65,13.62,13.52,13.56,13.60,13.73,13.73,13.58,13.36,13.27
NEVADA,19.48,21.20,20.49,19.99,20.59,21.17,20.61,21.54,20.80,20.02,19.41
NEW HAMPSHIRE,12.07,12.19,12.30,12.26,12.35,12.50,12.57,12.66,12.75,12.67,12.73
NEW JERSEY,12.06,12.05,12.19,12.19,12.25,12.17,11.96,12.37,12.36,12.73,12.11
NEW MEXICO,15.16,15.78,15.85,15.76,15.45,15.19,15.25,15.23,15.36,15.07,14.72
NEW YORK,12.39,12.73,12.78,13.05,13.16,13.45,13.22,13.09,12.91,12.92,12.88
NORTH CAROLINA,15.48,15.49,15.47,15.47,15.55,15.59,15.41,15.40,15.50,15.15,14.12
NORTH DAKOTA,12.52,12.02,12.06,11.84,11.82,11.78,11.80,11.65,11.45,11.44,11.36
OHIO,15.94,16.67,17.23,16.67,16.87,16.19,16.26,16.32,16.12,16.05,15.84
OKLAHOMA,16.25,16.46,16.71,16.89,16.32,16.36,16.24,16.12,16.11,15.99,15.37
OREGON,20.20,20.21,20.33,19.46,19.82,21.59,22.18,22.25,21.21,20.30,20.26
PENNSYLVANIA,13.94,14.03,14.16,14.10,14.21,14.28,14.47,14.32,14.21,13.80,13.64
RHODE ISLAND,13.41,13.34,13.38,13.30,13.36,14.99,14.46,14.43,12.52,12.83,12.77
SOUTH CAROLINA,14.69,14.81,14.82,15.19,15.20,15.29,15.49,15.31,15.54,16.05,15.39
SOUTH DAKOTA,14.09,14.09,14.02,13.94,13.93,13.83,13.76,13.98,13.84,13.26,13.27
TENNESSEE,15.66,15.72,15.65,15.58,15.06,15.24,15.09,14.96,15.06,14.84,14.88
TEXAS,15.08,15.11,15.14,15.19,15.26,15.29,15.40,15.51,15.42,14.73,14.56
UTAH,22.63,22.75,22.88,22.88,22.85,23.22,22.96,23.05,23.06,22.80,22.31
VERMONT,10.79,10.47,10.59,10.80,10.45,10.49,10.59,10.67,10.75,11.56,10.47
VIRGINIA,14.88,14.82,15.03,14.05,14.22,14.23,14.14,14.16,13.85,17.64,17.58
WASHINGTON,18.36,18.17,18.45,18.73,18.76,18.03,19.30,19.59,19.68,19.35,19.37
