State,Composite score,English score,Mathematics score,Reading score,Science score
United States,20.7,20.1,20.4,21.2,20.6
Alabama,18.9,18.7,18.1,19.5,18.8
Alaska,20.1,18.9,19.9,20.9,20.2
Arizona,19.0,17.9,19.2,19.3,19.0
Arkansas,19.3,19.0,18.7,19.6,19.2
California,22.6,22.4,22.3,23.0,22.2
Colorado,23.8,23.8,23.3,24.3,23.4
Connecticut,25.5,25.9,24.7,26.1,24.8
Delaware,24.0,23.9,23.1,24.7,23.5
District of Columbia,23.5,23.6,22.7,24.4,22.9
Florida,20.1,19.5,19.5,21.2,19.7
Georgia,21.4,20.9,20.7,22.2,21.2
Hawaii,19.0,17.9,19.2,19.2,19.2
Idaho,22.5,21.9,21.9,23.4,22.2
Illinois,24.3,24.5,23.8,24.7,23.7
Indiana,22.5,21.7,22.3,23.1,22.2
Iowa,21.6,20.8,21.0,22.3,21.8
Kansas,21.2,20.5,20.7,21.8,21.1
Kentucky,19.8,19.5,19.2,20.5,19.6
Louisiana,18.8,18.7,18.2,19.2,18.8
Maine,24.3,24.2,23.8,25.1,23.7
Maryland,22.3,22.0,21.7,23.1,22.1
Massachusetts,25.5,25.5,25.2,26.1,24.8
Michigan,24.4,24.5,24.0,24.8,24.0
Minnesota,21.4,20.3,21.4,21.7,21.6
Mississippi,18.4,18.1,17.9,18.9,18.4
Missouri,20.8,20.3,20.2,21.3,20.8
Montana,19.8,18.7,19.7,20.6,19.9
Nebraska,20.0,19.4,19.7,20.3,20.2
Nevada,17.9,16.8,18.0,18.2,17.9
New Hampshire,25.0,24.9,24.7,25.6,24.5
New Jersey,24.2,24.3,24.0,24.6,23.6
New Mexico,19.3,18.1,18.9,20.0,19.6
New York,24.5,24.1,24.1,25.0,24.4
North Carolina,19.0,17.8,19.2,19.4,19.0
North Dakota,19.9,18.6,19.9,20.3,20.2
Ohio,20.0,19.0,19.9,20.5,20.1
Oklahoma,18.9,18.2,18.3,19.6,19.0
Oregon,21.1,20.3,20.8,21.7,21.1
Pennsylvania,23.6,23.3,23.1,24.1,23.2
Rhode Island,24.7,25.0,23.9,25.5,24.0
South Carolina,18.8,18.0,18.7,19.4,18.9
South Dakota,21.6,20.7,21.3,22.2,21.9
Tennessee,19.4,19.1,18.9,19.7,19.2
Texas,20.5,19.5,20.4,21.1,20.6
Utah,20.3,19.5,20.0,20.8,20.3
Vermont,24.1,23.9,23.3,25.0,23.9
Virginia,24.0,23.8,23.3,24.8,23.6
Washington,22.1,21.3,22.1,22.7,21.9
West Virginia,20.8,20.6,19.7,21.7,20.7
Wisconsin,20.3,19.4,20.2,20.4,20.6
Wyoming,19.8,18.8,19.4,20.4,20.0
