State,Reading,Mathematics,Writing,Total
United States,497,513,487,1497
Alabama,547,538,532,1617
Alaska,507,503,475,1485
Arizona,522,525,500,1547
Arkansas,573,571,554,1698
California,498,510,496,1504
Colorado,582,586,567,1735
Connecticut,507,510,508,1525
Delaware,456,459,444,1359
District of Columbia,440,438,431,1309
Florida,491,485,472,1448
Georgia,488,485,472,1445
Hawaii,484,504,472,1460
Idaho,458,456,450,1364
Illinois,599,616,587,1802
Indiana,497,500,477,1474
Iowa,605,611,578,1794
Kansas,591,596,566,1753
Kentucky,589,585,572,1746
Louisiana,561,556,550,1667
Maine,467,471,449,1387
Maryland,492,495,481,1468
Massachusetts,516,531,509,1556
Michigan,593,610,581,1784
Minnesota,598,610,578,1786
Mississippi,583,566,565,1714
Missouri,595,597,579,1771
Montana,555,552,530,1637
Nebraska,589,587,569,1745
Nevada,495,494,469,1458
New Hampshire,524,530,512,1566
New Jersey,501,523,502,1526
New Mexico,548,543,526,1617
New York,488,502,478,1468
North Carolina,499,507,477,1483
North Dakota,612,620,584,1816
Ohio,555,562,535,1652
Oklahoma,576,571,550,1697
Oregon,523,522,499,1544
Pennsylvania,497,504,480,1481
Rhode Island,497,496,487,1480
South Carolina,488,490,465,1443
South Dakota,604,609,579,1792
Tennessee,578,570,566,1714
Texas,476,495,461,1432
Utah,571,568,551,1690
Vermont,522,525,507,1554
Virginia,518,515,497,1530
Washington,510,518,491,1519
West Virginia,517,505,500,1522
Wisconsin,596,608,578,1782
Wyoming,590,599,573,1762
