SAT_2018,Total,ERW,Math
United States,1068,536,531
Alabama,1166,595,571
Alaska,1106,562,544
Arizona,1149,577,572
Arkansas,1169,592,576
California,1076,540,536
Colorado,1025,519,506
Connecticut,1053,535,519
Delaware,998,505,492
District of Columbia,977,497,480
Florida,1014,522,493
Georgia,1064,542,522
Hawaii,1099,550,549
Idaho,1001,508,493
Illinois,1019,513,506
Indiana,1086,546,539
Iowa,1265,634,631
Kansas,1265,633,631
Kentucky,1248,630,618
Louisiana,1210,615,595
Maine,1013,512,501
Maryland,1080,545,535
Massachusetts,1125,562,563
Michigan,1011,511,499
Minnesota,1298,643,655
Mississippi,1236,630,606
Missouri,1262,633,629
Montana,1198,606,592
Nebraska,1252,629,623
Nevada,1140,574,566
New Hampshire,1063,535,528
New Jersey,1094,547,547
New Mexico,1093,552,540
New York,1068,534,534
North Carolina,1098,554,543
North Dakota,1283,640,643
Ohio,1099,552,547
Oklahoma,1062,541,521
Oregon,1117,564,553
Pennsylvania,1086,547,539
Rhode Island,1018,513,505
South Carolina,1070,547,523
South Dakota,1241,622,618
Tennessee,1231,624,607
Texas,1032,520,512
Utah,1230,618,612
Vermont,1120,565,554
Virginia,1117,567,550
Washington,1081,543,538
West Virginia,999,513,486
Wisconsin,1294,641,653
Wyoming,1257,633,625
